,WikidataID,riksdagenGUID,Source,sourceid,status,WD_Riksdagen,tilltalsnamn,efternamn,parti,fodd_ar,intressent_id,Riksdagen
2515,,,,de8ca0e0-c528-464b-b421-c0c88934d916,Inga uppdrag,Riksdagen_only,Gunnar,Johansson,M,1915,de8ca0e0-c528-464b-b421-c0c88934d916,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_de8ca0e0-c528-464b-b421-c0c88934d916'>link</a>
2516,,,,11ef9e0c-b951-4729-8577-51768c93100a,Inga uppdrag,Riksdagen_only,Hilding,Johansson,S,1915,11ef9e0c-b951-4729-8577-51768c93100a,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_11ef9e0c-b951-4729-8577-51768c93100a'>link</a>
2524,,,,944aa0c1-158d-491d-9d5e-9a3271dbfa64,Inga uppdrag,Riksdagen_only,Hans,Jönsson,S,1915,944aa0c1-158d-491d-9d5e-9a3271dbfa64,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_944aa0c1-158d-491d-9d5e-9a3271dbfa64'>link</a>
2487,,,,94111879-2c79-42c7-9c43-fd3d08381855,Inga uppdrag,Riksdagen_only,Olle,Dahlén,FP,1915,94111879-2c79-42c7-9c43-fd3d08381855,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_94111879-2c79-42c7-9c43-fd3d08381855'>link</a>
2544,,,,88f9162d-d334-4065-8ea4-211a1f1496c2,Inga uppdrag,Riksdagen_only,Birger,Nilsson,S,1915,88f9162d-d334-4065-8ea4-211a1f1496c2,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_88f9162d-d334-4065-8ea4-211a1f1496c2'>link</a>
2519,,,,f1cfa7ca-a2ec-4be7-ab39-88d9c3d515ad,Inga uppdrag,Riksdagen_only,Rune B,Johansson,S,1915,f1cfa7ca-a2ec-4be7-ab39-88d9c3d515ad,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_f1cfa7ca-a2ec-4be7-ab39-88d9c3d515ad'>link</a>
2493,,,,2059f12e-f020-4a48-9065-3dfa2ae6ed86,Inga uppdrag,Riksdagen_only,John,Eriksson,BF - C,1915,2059f12e-f020-4a48-9065-3dfa2ae6ed86,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_2059f12e-f020-4a48-9065-3dfa2ae6ed86'>link</a>
2565,,,,46ae4730-87c2-4ceb-bd32-f7c0bfe39bc2,Inga uppdrag,Riksdagen_only,Ingvar,Svanberg,S,1915,46ae4730-87c2-4ceb-bd32-f7c0bfe39bc2,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_46ae4730-87c2-4ceb-bd32-f7c0bfe39bc2'>link</a>
2527,,,,f242e684-80ce-49b9-a3a8-5ee3f5d97fca,Inga uppdrag,Riksdagen_only,Helge,Karlsson,S,1915,f242e684-80ce-49b9-a3a8-5ee3f5d97fca,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_f242e684-80ce-49b9-a3a8-5ee3f5d97fca'>link</a>
2567,,,,779bbf93-99ed-404f-8fcf-f01100a90e0d,Inga uppdrag,Riksdagen_only,Kurt,Söderström,H - M,1914,779bbf93-99ed-404f-8fcf-f01100a90e0d,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_779bbf93-99ed-404f-8fcf-f01100a90e0d'>link</a>
2486,,,,afb04244-2dba-4edd-b241-b7cc41bc0675,Inga uppdrag,Riksdagen_only,Eric,Carlsson,C,1914,afb04244-2dba-4edd-b241-b7cc41bc0675,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_afb04244-2dba-4edd-b241-b7cc41bc0675'>link</a>
2525,,,,db094423-d887-4d4d-b1cd-709a88819faa,Inga uppdrag,Riksdagen_only,Göran,Karlsson,S,1914,db094423-d887-4d4d-b1cd-709a88819faa,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_db094423-d887-4d4d-b1cd-709a88819faa'>link</a>
2538,,,,3bde2cce-0fd9-400b-9279-b40b998b2d66,Inga uppdrag,Riksdagen_only,Lennart,Mattsson,C,1914,3bde2cce-0fd9-400b-9279-b40b998b2d66,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_3bde2cce-0fd9-400b-9279-b40b998b2d66'>link</a>
2496,,,,97d052ad-7a48-4580-bf75-822052ae170d,Inga uppdrag,Riksdagen_only,Oscar,Franzén,S,1913,97d052ad-7a48-4580-bf75-822052ae170d,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_97d052ad-7a48-4580-bf75-822052ae170d'>link</a>
2569,,,,fa8c40f9-f40f-42c7-8b6e-7889e16c4037,Inga uppdrag,Riksdagen_only,Hans,Wachtmeister,H - M,1913,fa8c40f9-f40f-42c7-8b6e-7889e16c4037,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_fa8c40f9-f40f-42c7-8b6e-7889e16c4037'>link</a>
2467,,,,74c951fa-4725-4de5-9da5-f1e7721690ae,Inga uppdrag,Riksdagen_only,Alvar,Andersson,C,1913,74c951fa-4725-4de5-9da5-f1e7721690ae,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_74c951fa-4725-4de5-9da5-f1e7721690ae'>link</a>
2552,,,,db09ce80-d0d8-4cc7-8c42-0efe72c1888f,Inga uppdrag,Riksdagen_only,Arne,Persson,C,1913,db09ce80-d0d8-4cc7-8c42-0efe72c1888f,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_db09ce80-d0d8-4cc7-8c42-0efe72c1888f'>link</a>
2543,,,,ed6e522b-a2f4-4a12-aee0-d28ce3c98c60,Inga uppdrag,Riksdagen_only,Yngve,Möller,S,1912,ed6e522b-a2f4-4a12-aee0-d28ce3c98c60,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_ed6e522b-a2f4-4a12-aee0-d28ce3c98c60'>link</a>
2572,,,,e8c776cd-a5f1-4a08-8fa0-c482b162a872,Inga uppdrag,Riksdagen_only,Georg,Åberg,FP,1912,e8c776cd-a5f1-4a08-8fa0-c482b162a872,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_e8c776cd-a5f1-4a08-8fa0-c482b162a872'>link</a>
2537,,,,d0750e8b-bfc0-47e3-a14b-bfc7b86613bf,Inga uppdrag,Riksdagen_only,Nils,Magnusson,S,1912,d0750e8b-bfc0-47e3-a14b-bfc7b86613bf,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_d0750e8b-bfc0-47e3-a14b-bfc7b86613bf'>link</a>
2522,,,,fcb671d8-7cc3-4bce-ba31-5f5051bfb7dd,Inga uppdrag,Riksdagen_only,Anders,Jonsson,FP,1912,fcb671d8-7cc3-4bce-ba31-5f5051bfb7dd,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_fcb671d8-7cc3-4bce-ba31-5f5051bfb7dd'>link</a>
2475,,,,905b23da-9a1f-4d88-83f8-610e140b1ce0,Inga uppdrag,Riksdagen_only,Sven,Aspling,S,1912,905b23da-9a1f-4d88-83f8-610e140b1ce0,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_905b23da-9a1f-4d88-83f8-610e140b1ce0'>link</a>
2570,,,,f80c568d-d0d0-4104-b665-74ca40e23003,Inga uppdrag,Riksdagen_only,Olle,Westberg,FP,1911,f80c568d-d0d0-4104-b665-74ca40e23003,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_f80c568d-d0d0-4104-b665-74ca40e23003'>link</a>
2499,,,,d3eb14a9-6c87-4d40-bc9d-d1f349f0f7d3,Inga uppdrag,Riksdagen_only,Sven,Gustafson,FP,1911,d3eb14a9-6c87-4d40-bc9d-d1f349f0f7d3,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_d3eb14a9-6c87-4d40-bc9d-d1f349f0f7d3'>link</a>
2553,,,,a36ffcc1-3057-4895-988a-13a312bd45ae,Inga uppdrag,Riksdagen_only,Sven,Persson,S,1911,a36ffcc1-3057-4895-988a-13a312bd45ae,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_a36ffcc1-3057-4895-988a-13a312bd45ae'>link</a>
2517,,,,d29c370c-347e-42e2-8c7d-72353962c213,Inga uppdrag,Riksdagen_only,Knut,Johansson,S,1911,d29c370c-347e-42e2-8c7d-72353962c213,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_d29c370c-347e-42e2-8c7d-72353962c213'>link</a>
2554,,,,6bc70faf-e8f4-493a-84c8-a13e60ca0538,Inga uppdrag,Riksdagen_only,Yngve,Persson,S,1911,6bc70faf-e8f4-493a-84c8-a13e60ca0538,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_6bc70faf-e8f4-493a-84c8-a13e60ca0538'>link</a>
2472,,,,eb6096a0-93d7-48ab-bef2-9d30faa62926,Inga uppdrag,Riksdagen_only,Sven,Andersson,S,1910,eb6096a0-93d7-48ab-bef2-9d30faa62926,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_eb6096a0-93d7-48ab-bef2-9d30faa62926'>link</a>
2531,,,,bc13acdd-db30-44da-8c89-a3b06b2321b5,Inga uppdrag,Riksdagen_only,Åke,Larsson,S,1910,bc13acdd-db30-44da-8c89-a3b06b2321b5,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_bc13acdd-db30-44da-8c89-a3b06b2321b5'>link</a>
2504,,,,0fbcf83b-6995-49f6-b763-0502474c623f,Inga uppdrag,Riksdagen_only,Anders,Haglund,S,1910,0fbcf83b-6995-49f6-b763-0502474c623f,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_0fbcf83b-6995-49f6-b763-0502474c623f'>link</a>
