,WikidataID,show,librisid,WD_Litteraturbanken,full_name,authorid,Littbank,LittbankJSON
2657,,True,b8nqrljv28z6jnr,Litterturbanken_only,Johan Fridolf Hagfors,HagforsJF,<a href='https://litteraturbanken.se/f%C3%B6rfattare/HagforsJF'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/HagforsJF'>json</a>
2675,,True,1zcfhd4k1x5nv45,Litterturbanken_only,Gustaf Göran Stenborg,StenborgGG,<a href='https://litteraturbanken.se/f%C3%B6rfattare/StenborgGG'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/StenborgGG'>json</a>
2731,,True,vs6888xd2lx9tfd,Litterturbanken_only,"Eugénie, prinsessa av Sverige",Eugénie,<a href='https://litteraturbanken.se/f%C3%B6rfattare/Eugénie'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/Eugénie'>json</a>
2672,,True,gdsvxlq02qcglk5,Litterturbanken_only,Anders Herman Hallin,HallinAH,<a href='https://litteraturbanken.se/f%C3%B6rfattare/HallinAH'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/HallinAH'>json</a>
2664,,True,ljx03pb4052d1s8,Litterturbanken_only,C. G. Erdeman,ErdemanCG,<a href='https://litteraturbanken.se/f%C3%B6rfattare/ErdemanCG'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/ErdemanCG'>json</a>
2663,,True,dbqsv7dx233m63v,Litterturbanken_only,Bernt Arvidson,ArvidsonB,<a href='https://litteraturbanken.se/f%C3%B6rfattare/ArvidsonB'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/ArvidsonB'>json</a>
2662,,True,86lpst2s3hj1v1p,Litterturbanken_only,Johan Georg Lithander,LithanderJG,<a href='https://litteraturbanken.se/f%C3%B6rfattare/LithanderJG'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/LithanderJG'>json</a>
2734,,True,1zcfbt1k1xgj68g,Litterturbanken_only,Klas Ryberg,RybergK,<a href='https://litteraturbanken.se/f%C3%B6rfattare/RybergK'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/RybergK'>json</a>
2735,,True,0xbdhgsj0lvmxv9,Litterturbanken_only,Carl Henrik Rydberg,RydbergCH,<a href='https://litteraturbanken.se/f%C3%B6rfattare/RydbergCH'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/RydbergCH'>json</a>
2659,,True,1zcgkc4k4l7bwt8,Litterturbanken_only,Carl Welin,WelinC,<a href='https://litteraturbanken.se/f%C3%B6rfattare/WelinC'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/WelinC'>json</a>
2658,,True,ljx030j41d0zf20,Litterturbanken_only,Mathilda Gyllenhaal,GyllenhaalM,<a href='https://litteraturbanken.se/f%C3%B6rfattare/GyllenhaalM'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/GyllenhaalM'>json</a>
2540,,True,nl0378n62fhjqxx,Litterturbanken_only,Johan Alfred Almkvist,AlmkvistJA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/AlmkvistJA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/AlmkvistJA'>json</a>
2577,,True,ljx0tmv40999t1z,Litterturbanken_only,Gustaf Bjurström,BjurströmG,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BjurströmG'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BjurströmG'>json</a>
2500,,True,wt79c52f5ldjkh3,Litterturbanken_only,Carl Fredrik Hessling,HesslingCF,<a href='https://litteraturbanken.se/f%C3%B6rfattare/HesslingCF'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/HesslingCF'>json</a>
2499,,True,75kmp1tr5pllssx,Litterturbanken_only,F. A. Andersson,AnderssonFA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/AnderssonFA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/AnderssonFA'>json</a>
2523,,True,qn247rg85g3m57d,Litterturbanken_only,August Theodor Paban,PabanAT,<a href='https://litteraturbanken.se/f%C3%B6rfattare/PabanAT'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/PabanAT'>json</a>
2527,,True,qn259gq83b5c4k2,Litterturbanken_only,Johan Nordwall,NordwallJ,<a href='https://litteraturbanken.se/f%C3%B6rfattare/NordwallJ'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/NordwallJ'>json</a>
2515,,True,zw9c65sh2f2mjg5,Litterturbanken_only,August Cederqvist,CederqvistA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/CederqvistA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/CederqvistA'>json</a>
