SBLnr,SBLlength,titel,Fodd,Dod,Band,Year
7003,47451,J Fredrik E Rudberg,"Född:1800-08-30 – Nikolai församling, Stockholms län","Död:1839-06-14 – Uppsala domkyrkoförsamling, Uppsala län","Band 30 (1998-2000), sida 670.",1998-2000
7004,95939,Gunnar Rudberg,"Född:1880-10-17 – Björsäters församling (R-län), Skaraborgs län","Död:1954-08-06 – Uppsala domkyrkoförsamling, Uppsala län","Band 30 (1998-2000), sida 673.",1998-2000
7013,42293,Torsten Rudeen,"Född:1661-03-09 – Lysviks församling, Värmlands län","Död:1729-09-09 – Linköpings Domkyrkoförsamling, Östergötlands län","Band 30 (1998-2000), sida 678.",1998-2000
7014,70219,Carl Rudenschöld,Född:1698-10-12 – Finland (i Åbo),"Död:1783-06-10 – Klara församling, Stockholms län","Band 30 (1998-2000), sida 681.",1998-2000
7015,48510,Magdalena C Rudenschöld,"Född:1766-01-03 – Jakobs församling, Stockholms län","Död:1823-03-05 – Jakobs församling, Stockholms län","Band 30 (1998-2000), sida 686.",1998-2000
7016,45215,Torsten Rudenschöld,"Född:1798-03-30 – Edsbergs församling, Örebro län","Död:1859-05-27 – Uppsala domkyrkoförsamling, Uppsala län","Band 30 (1998-2000), sida 689.",1998-2000
7018,38812,Gustav Ruder,"Född:1708-01-24 – Karlskrona stadsförsamling, Blekinge län","Död:1771-06-26 – Nikolai församling, Stockholms län","Band 30 (1998-2000), sida 693.",1998-2000
7020,114459,E G Waldemar N Rudin,"Född:1833-07-20 – Östra Ryds församling (E-län), Östergötlands län","Död:1921-01-02 – Uppsala domkyrkoförsamling, Uppsala län","Band 30 (1998-2000), sida 695.",1998-2000
7021,63681,Algot H L Ruhe,"Född:1867-11-03 – Lunds domkyrkoförsamling, Skåne län","Död:1944-09-24 – Danderyds församling, Stockholms län (i Djursholm)","Band 30 (1998-2000), sida 702.",1998-2000
7022,102094,Hans W Ruin,Född:1891-06-18 – Finland (i Helsingfors),"Död:1980-11-03 – Sankt Görans församling, Stockholms län","Band 30 (1998-2000), sida 706.",1998-2000
7025,27509,Petter Rundberg,"Född:1718-10-29 – Gränna landsförsamling, Jönköpings län","Död:1780-11-01 – Jönköpings Kristina församling, Jönköpings län","Band 30 (1998-2000), sida 713.",1998-2000
7026,55885,Abraham Rundbäck,"Född:1827-01-30 – Barnarps församling, Jönköpings län","Död:1893-06-12 – Växjö domkyrkoförsamling, Kronobergs län","Band 30 (1998-2000), sida 714.",1998-2000
7027,48195,Jöns Rundbäck,"Född:1830-10-21 – Barnarps församling, Jönköpings län","Död:1895-10-29 – Säve församling, Västra Götalands län","Band 30 (1998-2000), sida 718.",1998-2000
7028,99263,C Herman Rundgren,"Född:1819-08-12 – Nikolai församling, Stockholms län","Död:1906-09-19 – Karlstads domkyrkoförsamling, Värmlands län","Band 30 (1998-2000), sida 721.",1998-2000
7029,28021,"Runeberg, släkt",,,"Band 30 (1998-2000), sida 729.",1998-2000
7032,63174,Ephraim Otto Runeberg,"Född:1722-07-29 – Lovö församling, Stockholms län",Död:1770-01-20 – Finland (i Vasa),"Band 30 (1998-2000), sida 730.",1998-2000
7036,95425,Arvid Runestam,"Född:1887-01-16 – Grava församling, Värmlands län","Död:1962-10-11 – Uppsala domkyrkoförsamling, Uppsala län","Band 30 (1998-2000), sida 735.",1998-2000
7037,41176,Fredric Ludvig Rung,"Född:1758-07-20 – Tyska Sankta Gertruds församling, Stockholms län","Död:1837-02-01 – Jakobs församling, Stockholms län","Band 30 (1998-2000), sida 741.",1998-2000
7039,43819,Johan Runius,"Född:1679 – Larvs församling, Skaraborgs län","Död:1713-06-01 – Nikolai församling, Stockholms län","Band 30 (1998-2000), sida 744.",1998-2000
