skblid,wid,publishedDate,article_author_firstname,article_author_lastname,subtitle_sv,subtitle_eng,name_lastname,name_firstname
GotaTragardh,Q4983474,2018-03-08,Anna,Lindqvist,"Textilformgivare, modetecknare, skolgrundare","Textile designer, fashion illustrator, school founder",Trägårdh,/Göta/ Elisabeth
KarinEk,Q4988385,2018-03-08,Anne,Brügge,"Författare, redaktör","Author, editor",Ek,/Karin/ Valborg
HerthaHillfon,Q4988725,2018-03-08,Birgitta,Flensburg,"Konstnär, skulptör, keramiker","Artist, sculptor, ceramist",Hillfon,/Hertha/ Maria Lilli-Mor
SofiNilsson,Q4989353,2018-03-08,Gustav,Berry,"Folkskollärare, pedagogisk pionjär, filantrop","Elementary-school teacher, pedagogical pioneer, philanthropist",Nilsson,/Sofi/
IngeborgNordinHennel,Q4989370,2018-03-08,Lisbeth,Larsson,Professor i litteraturvetenskap,Professor of the history of literature,Nordin Hennel,Anna /Ingeborg/ Petronella
IngridWallberg,Q4990121,2018-03-08,Anne,Brügge,Arkitekt,Architect,Wallberg,/Ingrid/
IngeborgMarianneWestman,Q4990398,2018-03-08,Birgitta,Flensburg,Formgivare,Designer,Westman,Ingeborg /Marianne/
EstridRodhe,Q10489243,2018-03-08,Inger,Eriksson,"Sjuksköterska, utbildare av sjuksköterskor","Nurse, nursing teacher",Rodhe,/Estrid/ Eva Sophia
AugustaBraunerhjelm,Q13426917,2018-03-08,Birgitta,Ney,"Författare, dramatiker","Author, playwright",Braunerhjelm,Beata Fredrika /Augusta/
KarinAhlin,Q13534124,2018-03-08,Sara,Backman Prytz,"Lärare, skolgrundare","Teacher, school founder",Åhlin,/Karin/ Dorothea Wilhelmina
CatharinaWallenstedt,Q15295215,2018-03-08,Maria,Sjöberg,"Adelsdam, brevskrivare","Noblewoman, letter-writer",Wallenstedt,/Catharina/
