,item,itemLabel,NobelAPI,id,name_en,name_se,link,gender,awardYear,category,sameas,WD_Nobel,linkjson,linkhtml,wd
48,http://www.wikidata.org/entity/Q65989,Wolfgang Pauli,50,50,Wolfgang Pauli,Wolfgang Pauli,https://api.nobelprize.org/2/laureate/50,male,1945,Physics,"['https://www.wikidata.org/wiki/Q65989', 'https://en.wikipedia.org/wiki/Wolfgang_Pauli']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=50'>json</a>,<a href='https://www.nobelprize.org/laureate/50'>html</a>,<a href='http://www.wikidata.org/entity/Q65989'>Wikidata</a>
49,http://www.wikidata.org/entity/Q172118,Percy Williams Bridgman,51,51,Percy W. Bridgman,Percy W. Bridgman,https://api.nobelprize.org/2/laureate/51,male,1946,Physics,"['https://www.wikidata.org/wiki/Q172118', 'https://en.wikipedia.org/wiki/Percy_Williams_Bridgman']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=51'>json</a>,<a href='https://www.nobelprize.org/laureate/51'>html</a>,<a href='http://www.wikidata.org/entity/Q172118'>Wikidata</a>
50,http://www.wikidata.org/entity/Q153194,Edward Victor Appleton,52,52,Edward V. Appleton,Edward V. Appleton,https://api.nobelprize.org/2/laureate/52,male,1947,Physics,"['https://www.wikidata.org/wiki/Q153194', 'https://en.wikipedia.org/wiki/Edward_Victor_Appleton']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=52'>json</a>,<a href='https://www.nobelprize.org/laureate/52'>html</a>,<a href='http://www.wikidata.org/entity/Q153194'>Wikidata</a>
51,http://www.wikidata.org/entity/Q184499,"Patrick Blackett, Baron Blackett",53,53,Patrick M.S. Blackett,Patrick M.S. Blackett,https://api.nobelprize.org/2/laureate/53,male,1948,Physics,"['https://www.wikidata.org/wiki/Q184499', 'https://en.wikipedia.org/wiki/Patrick_Blackett,_Baron_Blackett']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=53'>json</a>,<a href='https://www.nobelprize.org/laureate/53'>html</a>,<a href='http://www.wikidata.org/entity/Q184499'>Wikidata</a>
52,http://www.wikidata.org/entity/Q155777,Hideki Yukawa,54,54,Hideki Yukawa,Hideki Yukawa,https://api.nobelprize.org/2/laureate/54,male,1949,Physics,"['https://www.wikidata.org/wiki/Q155777', 'https://en.wikipedia.org/wiki/Hideki_Yukawa']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=54'>json</a>,<a href='https://www.nobelprize.org/laureate/54'>html</a>,<a href='http://www.wikidata.org/entity/Q155777'>Wikidata</a>
53,http://www.wikidata.org/entity/Q178103,C. F. Powell,55,55,Cecil Powell,Cecil Powell,https://api.nobelprize.org/2/laureate/55,male,1950,Physics,"['https://www.wikidata.org/wiki/Q178103', 'https://en.wikipedia.org/wiki/C._F._Powell']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=55'>json</a>,<a href='https://www.nobelprize.org/laureate/55'>html</a>,<a href='http://www.wikidata.org/entity/Q178103'>Wikidata</a>
54,http://www.wikidata.org/entity/Q62897,John Cockcroft,56,56,John Cockcroft,John Cockcroft,https://api.nobelprize.org/2/laureate/56,male,1951,Physics,"['https://www.wikidata.org/wiki/Q62897', 'https://en.wikipedia.org/wiki/John_Cockcroft']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=56'>json</a>,<a href='https://www.nobelprize.org/laureate/56'>html</a>,<a href='http://www.wikidata.org/entity/Q62897'>Wikidata</a>
55,http://www.wikidata.org/entity/Q183631,Ernest Walton,57,57,Ernest T.S. Walton,Ernest T.S. Walton,https://api.nobelprize.org/2/laureate/57,male,1951,Physics,"['https://www.wikidata.org/wiki/Q183631', 'https://en.wikipedia.org/wiki/Ernest_Walton']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=57'>json</a>,<a href='https://www.nobelprize.org/laureate/57'>html</a>,<a href='http://www.wikidata.org/entity/Q183631'>Wikidata</a>
56,http://www.wikidata.org/entity/Q123022,Felix Bloch,58,58,Felix Bloch,Felix Bloch,https://api.nobelprize.org/2/laureate/58,male,1952,Physics,"['https://www.wikidata.org/wiki/Q123022', 'https://en.wikipedia.org/wiki/Felix_Bloch']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=58'>json</a>,<a href='https://www.nobelprize.org/laureate/58'>html</a>,<a href='http://www.wikidata.org/entity/Q123022'>Wikidata</a>
57,http://www.wikidata.org/entity/Q183270,Edward Mills Purcell,59,59,E. M. Purcell,E. M. Purcell,https://api.nobelprize.org/2/laureate/59,male,1952,Physics,"['https://www.wikidata.org/wiki/Q183270', 'https://en.wikipedia.org/wiki/Edward_Mills_Purcell']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=59'>json</a>,<a href='https://www.nobelprize.org/laureate/59'>html</a>,<a href='http://www.wikidata.org/entity/Q183270'>Wikidata</a>
